"actor_id","first_name","last_name"
12,"Karl","Berry"
14,"Vivien","Bergen"
25,"Kevin","Bloom"
37,"Val","Bolger"
39,"Goldie","Brody"
47,"Julia","Barrymore"
60,"Henry","Berry"
67,"Jessica","Bailey"
91,"Christopher","Berry"
98,"Chris","Bridges"
112,"Russell","Bacall"
115,"Harrison","Bale"
121,"Liza","Bergman"
124,"Scarlett","Bening"
158,"Vivien","Basinger"
159,"Laura","Brody"
167,"Laurence","Bullock"
174,"Michael","Bening"
185,"Michael","Bolger"
187,"Renee","Ball"
189,"Cuba","Birch"
190,"Audrey","Bailey"
