"film_id","rental_duration"
98,4
2,3
6,3
9,3
213,4
13,4
17,3
20,4
21,3
23,3
25,3
26,3
30,4
35,4
37,3
40,4
41,4
46,3
48,3
50,3
126,3
57,4
59,4
60,3
65,3
69,3
71,3
74,4
76,4
82,3
85,4
90,3
93,4
96,4
101,3
102,4
104,4
106,4
107,4
109,3
110,4
111,3
112,4
113,4
114,3
116,4
120,3
121,4
124,3
129,3
134,4
135,3
137,3
142,3
148,3
156,3
160,4
162,4
163,4
164,4
184,3
169,3
175,3
177,4
179,4
180,4
183,4
185,3
189,3
192,4
195,3
197,4
199,4
204,4
205,3
210,3
214,3
215,4
216,3
221,4
222,4
225,3
226,4
227,4
228,4
233,3
236,4
237,3
238,4
241,4
242,4
243,3
245,4
247,3
250,4
254,4
257,3
259,4
260,3
266,4
267,4
269,3
274,4
275,3
277,4
278,4
285,3
290,4
292,3
295,3
298,4
299,4
301,4
304,3
306,3
308,3
311,4
312,4
314,3
315,4
317,4
319,4
320,4
321,3
324,3
327,3
329,4
344,3
345,3
346,4
349,4
350,3
351,4
352,4
360,4
363,3
364,3
365,4
366,3
369,4
370,4
374,3
375,4
376,4
382,3
386,3
389,3
390,4
449,4
395,4
402,3
404,4
408,4
409,3
414,3
415,3
419,4
429,3
431,3
432,4
433,4
434,3
436,4
438,3
439,4
444,3
448,3
452,4
453,3
458,4
459,4
460,3
461,3
463,4
464,3
465,4
470,4
472,3
478,4
480,3
481,4
482,3
483,3
484,3
488,3
489,4
490,4
491,4
494,4
496,3
497,4
499,3
501,3
502,4
503,3
753,3
506,4
507,4
517,3
519,3
522,4
525,4
527,4
528,4
529,3
531,3
533,4
536,3
537,3
542,3
544,4
545,4
547,3
548,3
549,4
551,3
553,4
555,4
558,3
564,4
567,3
568,4
572,4
574,3
575,3
577,4
578,4
579,3
580,3
581,4
582,3
583,3
585,4
586,4
588,4
589,3
590,3
596,4
599,3
601,4
604,4
606,3
616,4
617,4
618,3
619,3
622,4
623,4
624,3
625,3
627,4
631,4
641,4
643,3
647,4
649,4
650,3
651,3
652,3
653,3
654,4
656,3
659,3
662,3
665,4
666,4
667,3
669,3
670,4
673,3
674,3
678,3
680,4
681,4
682,4
684,4
692,3
698,3
700,4
702,4
704,3
705,4
708,4
710,4
711,4
712,4
713,3
715,3
720,3
723,3
728,3
730,3
733,4
734,4
736,4
737,4
738,3
739,4
744,4
746,3
748,4
750,3
757,4
759,4
763,3
764,3
768,3
771,3
772,4
774,3
775,4
778,3
779,4
781,4
787,4
791,3
796,3
798,4
799,3
806,4
807,4
811,4
815,4
816,3
818,4
819,3
820,3
823,4
824,4
834,4
836,3
837,4
842,4
843,4
846,3
848,3
851,3
852,4
853,3
854,4
857,3
859,3
860,4
861,3
865,3
869,4
870,4
891,3
872,3
873,3
876,3
877,4
878,3
879,3
882,4
889,3
892,3
893,4
895,3
896,3
897,3
898,4
901,3
904,3
906,4
907,4
908,3
909,3
910,3
912,3
913,3
916,3
917,3
918,4
919,3
920,3
925,3
930,4
932,3
933,4
936,3
938,3
939,4
941,4
943,4
946,3
953,3
964,4
966,3
969,4
971,4
972,4
973,3
974,4
977,3
978,3
980,4
982,4
984,3
985,4
987,3
989,4
990,3
991,4
997,4
1000,3
