"customer_id","total_amount"
135,"100.72"
219,"100.75"
251,"100.75"
572,"100.76"
517,"100.76"
486,"100.77"
405,"101.70"
593,"101.76"
100,"101.77"
466,"101.78"
44,"101.79"
190,"102.75"
126,"102.75"
587,"102.76"
98,"102.76"
553,"102.77"
510,"102.77"
292,"102.78"
408,"103.73"
20,"103.73"
202,"103.74"
245,"103.74"
214,"103.74"
280,"103.77"
296,"103.77"
341,"103.78"
442,"104.71"
397,"104.72"
25,"104.73"
407,"104.74"
31,"104.74"
121,"104.75"
171,"104.75"
289,"104.76"
493,"104.78"
345,"104.79"
28,"105.70"
444,"105.72"
96,"105.73"
396,"105.74"
40,"105.74"
400,"105.76"
58,"105.76"
193,"105.77"
294,"105.77"
331,"105.78"
490,"105.78"
127,"105.78"
138,"106.68"
52,"106.72"
23,"106.73"
160,"106.73"
457,"106.73"
116,"106.74"
471,"106.74"
234,"106.75"
155,"106.76"
343,"106.77"
240,"106.77"
477,"106.79"
91,"107.66"
254,"107.70"
418,"107.70"
157,"107.71"
588,"107.73"
145,"107.73"
441,"107.73"
332,"107.74"
427,"107.77"
571,"107.78"
293,"107.79"
167,"108.71"
239,"108.72"
574,"108.73"
518,"108.75"
334,"108.75"
590,"108.76"
277,"108.76"
594,"108.77"
284,"108.78"
424,"109.71"
446,"109.72"
386,"109.72"
481,"109.72"
538,"109.73"
376,"109.73"
447,"109.73"
220,"109.75"
16,"109.75"
575,"109.76"
536,"109.77"
170,"109.77"
241,"110.68"
595,"110.71"
559,"110.72"
90,"110.72"
154,"110.73"
213,"110.73"
515,"110.74"
495,"110.76"
258,"110.76"
531,"110.77"
186,"111.71"
592,"111.71"
42,"111.71"
579,"111.73"
173,"111.73"
113,"111.73"
577,"111.74"
225,"111.76"
337,"111.76"
453,"111.77"
485,"112.72"
131,"112.73"
32,"112.74"
63,"112.75"
582,"112.76"
540,"112.76"
260,"113.70"
314,"113.71"
416,"113.72"
569,"113.73"
139,"113.73"
266,"113.74"
302,"113.74"
309,"113.75"
433,"113.77"
1,"114.70"
388,"114.72"
107,"114.72"
262,"114.73"
584,"114.73"
54,"114.74"
279,"114.76"
158,"115.70"
393,"115.71"
529,"115.72"
56,"115.74"
512,"115.74"
356,"116.71"
71,"116.72"
274,"116.73"
263,"116.73"
253,"116.74"
149,"116.75"
49,"116.76"
573,"117.72"
504,"117.75"
421,"117.75"
585,"117.76"
583,"117.77"
285,"117.77"
230,"118.69"
128,"118.70"
35,"118.70"
565,"118.73"
589,"118.75"
41,"118.75"
82,"118.76"
306,"119.72"
207,"119.72"
487,"119.74"
389,"119.75"
59,"119.76"
122,"120.70"
499,"120.71"
179,"120.74"
423,"120.74"
491,"120.75"
406,"121.69"
438,"121.70"
451,"121.70"
166,"121.73"
497,"121.73"
508,"121.77"
473,"122.69"
244,"122.70"
163,"122.71"
535,"122.72"
434,"122.74"
92,"122.74"
30,"123.66"
27,"123.70"
51,"123.70"
371,"123.71"
506,"123.72"
300,"123.74"
2,"123.74"
129,"124.66"
198,"124.68"
89,"124.71"
45,"124.74"
354,"125.67"
147,"125.68"
295,"125.72"
482,"125.74"
426,"125.74"
114,"126.70"
108,"126.72"
206,"126.73"
436,"126.73"
146,"126.73"
200,"126.74"
38,"127.66"
141,"127.69"
520,"127.69"
221,"127.73"
448,"127.73"
196,"128.69"
84,"128.70"
103,"128.71"
242,"128.71"
484,"128.73"
168,"129.68"
102,"129.70"
560,"129.71"
112,"129.72"
342,"130.68"
566,"130.68"
502,"130.70"
7,"130.72"
273,"130.72"
3,"130.76"
125,"131.69"
46,"131.69"
13,"131.73"
472,"131.74"
380,"132.65"
533,"132.70"
265,"132.72"
197,"133.68"
172,"133.70"
404,"133.71"
349,"133.72"
5,"134.65"
15,"134.68"
204,"134.69"
210,"134.70"
120,"134.70"
479,"134.71"
467,"134.72"
591,"134.73"
576,"135.68"
494,"135.70"
558,"135.72"
439,"137.67"
80,"137.70"
87,"137.72"
29,"138.65"
237,"138.69"
66,"139.67"
368,"139.69"
119,"139.69"
363,"139.72"
362,"140.69"
78,"141.69"
39,"141.71"
257,"142.66"
267,"142.67"
390,"142.69"
347,"142.70"
454,"143.68"
513,"143.70"
348,"144.66"
360,"144.68"
50,"144.70"
366,"145.64"
346,"145.70"
211,"146.67"
86,"146.68"
26,"146.68"
21,"146.68"
209,"147.71"
75,"149.61"
532,"149.69"
176,"151.68"
550,"151.69"
187,"151.73"
372,"152.68"
462,"152.69"
468,"154.66"
259,"154.70"
373,"156.66"
470,"157.69"
469,"158.65"
522,"161.68"
403,"162.67"
236,"166.61"
410,"167.62"
181,"167.67"
459,"183.63"
144,"189.60"
137,"191.62"
178,"194.61"
526,"208.58"
148,"211.55"
