category_id,name,film_id,title
1,Action,991,Worst Banger
1,Action,19,Amadeus Holy
1,Action,21,American Circus
1,Action,29,Antitrust Tomatoes
1,Action,38,Ark Ridgemont
1,Action,56,Barefoot Manchurian
1,Action,67,Berets Agent
1,Action,97,Bride Intrigue
1,Action,105,Bull Shawshank
1,Action,111,Caddyshack Jedi
1,Action,115,Campus Remember
1,Action,126,Casualties Encino
1,Action,130,Celebrity Horn
1,Action,162,Clueless Bucket
1,Action,194,Crow Grease
1,Action,205,Dances None
1,Action,210,Darko Dorado
1,Action,212,Darn Forrester
1,Action,229,Devil Desire
1,Action,250,Dragon Squad
1,Action,252,Dream Pickup
1,Action,253,Drifter Commandments
1,Action,271,Easy Gladiator
1,Action,287,Entrapment Satisfaction
1,Action,292,Excitement Eve
1,Action,303,Fantasy Troopers
1,Action,318,Firehouse Vietnam
1,Action,327,Fool Mockingbird
1,Action,329,Forrest Sons
1,Action,360,Glass Dying
1,Action,371,Gosford Donnie
1,Action,375,Grail Frankenstein
1,Action,395,Handicap Boondock
1,Action,417,Hills Neighbors
1,Action,501,Kissing Dolls
1,Action,511,Lawrence Love
1,Action,530,Lord Arizona
1,Action,542,Lust Lock
1,Action,549,Magnolia Forrester
1,Action,574,Midnight Westward
1,Action,579,Minds Truman
1,Action,586,Mockingbird Hollywood
1,Action,594,Montezuma Command
1,Action,659,Park Citizen
1,Action,664,Patriot Roman
1,Action,697,Primary Glass
1,Action,707,Quest Mussolini
1,Action,717,Rear Trading
1,Action,732,Rings Heartbreakers
1,Action,748,Rugrats Shakespeare
1,Action,793,Shrunk Divine
1,Action,794,Side Ark
1,Action,802,Sky Miracle
1,Action,823,South Wait
1,Action,825,Speakeasy Date
1,Action,838,Stagecoach Armageddon
1,Action,850,Story Side
1,Action,869,Suspects Quills
1,Action,911,Trip Newton
1,Action,915,Truman Crazy
1,Action,927,Uprising Uptown
1,Action,964,Waterfront Deliverance
1,Action,968,Werewolf Lola
1,Action,982,Women Dorado
8,Family,442,Hunting Musketeers
8,Family,458,Indian Love
8,Family,476,Jason Trap
8,Family,479,Jedi Beneath
8,Family,498,Killer Innocent
8,Family,499,King Evolution
8,Family,736,Robbery Bright
8,Family,832,Splash Gump
8,Family,528,Lolita World
8,Family,31,Apache Divine
8,Family,753,Rush Goodfellas
8,Family,43,Atlantis Cause
8,Family,50,Baked Cleopatra
8,Family,53,Bang Kwai
8,Family,534,Louisiana Harry
8,Family,63,Bedazzled Married
8,Family,778,Secrets Paradise
8,Family,71,Bilko Anonymous
8,Family,80,Blanket Beverly
8,Family,82,Blood Argonauts
8,Family,83,Blues Instinct
8,Family,94,Braveheart Human
8,Family,780,Sensibility Rear
8,Family,550,Maguire Apache
8,Family,557,Manchurian Curtain
8,Family,946,Virtual Spoilers
8,Family,975,Willow Tracy
8,Family,795,Siege Madre
8,Family,139,Chasing Fight
8,Family,145,Chisum Behavior
8,Family,147,Chocolat Harry
8,Family,866,Sunset Racer
8,Family,175,Confused Candles
8,Family,183,Conversation Downhill
8,Family,603,Movie Shakespeare
8,Family,610,Music Boondock
8,Family,617,Natural Stock
8,Family,621,Network Peak
8,Family,213,Date Speed
8,Family,634,Odds Boogie
8,Family,231,Dinosaur Secretary
8,Family,639,Opposite Necklace
8,Family,810,Slums Duck
8,Family,822,Soup Wisdom
8,Family,262,Dumbo Lust
8,Family,269,Earring Instinct
8,Family,679,Pilot Hoosiers
8,Family,273,Effect Gladiator
8,Family,682,Pittsburgh Hunchback
8,Family,695,President Bang
8,Family,867,Super Wyoming
8,Family,309,Feud Frogmen
8,Family,315,Finding Anaconda
8,Family,700,Prix Undefeated
8,Family,824,Spartacus Cheaper
8,Family,710,Rage Games
8,Family,345,Gables Metropolis
8,Family,348,Gandhi Kwai
8,Family,359,Gladiator Westward
8,Family,715,Range Moonwalker
8,Family,5,African Egg
8,Family,724,Remember Diary
8,Family,377,Grease Youth
8,Family,391,Half Outfield
8,Family,727,Resurrection Silverado
8,Family,829,Spinal Rocky
8,Family,419,Hocus Frida
8,Family,428,Homicide Peach
8,Family,437,House Dynamite
